,I1,I2
08/13/2018,17.147438832425877,16.251043222798835
08/14/2018,17.19878233361938,16.401914782377354
08/15/2018,19.56239886267118,18.35050634045384
08/16/2018,17.838075439946532,17.0039222130741
08/17/2018,17.679339760486933,16.996223016881252
08/20/2018,16.28485410624786,15.61878229543255
08/21/2018,15.687708841625453,15.023694159050276
08/22/2018,15.604836445963604,14.976903580416314
08/23/2018,15.498504437073768,14.843978620008139
08/24/2018,15.120976413011633,14.344738994435511
08/27/2018,15.059663393091526,14.032142117667274
08/28/2018,15.113277617217932,14.331162714555926
08/29/2018,14.904780192990398,14.271123145615835
08/30/2018,16.084405988479062,15.283306249813695
08/31/2018,17.69003811139591,16.458308880427133
09/03/2018,15.877708674955635,16.339712442291972
09/04/2018,17.105294528461997,17.070424165831326
09/05/2018,17.95493746165554,17.771891448485512
09/06/2018,17.881974429634408,17.738511447669207
09/07/2018,17.336258344585172,17.368457471087396
